#{"t_start": 1682426933.4161012, "env_id": null}
r,l,t
1669.0,17449,22.054412
791.0,10627,35.396286
797.0,10221,48.226227
2277.0,25201,125.783856
935.0,9903,138.163917
1921.0,25244,169.900265
712.0,10460,182.963466
1640.0,15073,201.870907
1463.0,13452,263.301609
267.0,2758,266.929964
1514.0,18591,290.202227
328.0,3372,294.411298
1561.0,17778,316.754914
1403.0,18100,383.267681
1511.0,16172,403.626598
367.0,2874,407.499695
874.0,10153,419.929224
633.0,11612,434.438065
1212.0,16218,498.880714
883.0,10257,511.88724
719.0,3922,516.778069
1381.0,17739,538.974621
2114.0,22609,567.183507
2522.0,17067,632.711559
295.0,3466,637.114705
1423.0,17277,658.797236
2086.0,21896,686.408671
2125.0,25186,762.802465
1689.0,11861,777.515892
1710.0,17096,798.905397
2237.0,18410,867.025785
1565.0,17917,889.737466
1460.0,18362,912.389692
958.0,9878,924.752349
1559.0,16412,989.580086
2238.0,20398,1015.144571
972.0,9070,1026.505586
1283.0,17899,1048.672502
2190.0,20140,1117.977144
1953.0,23806,1147.8395
1836.0,14590,1166.150704
1954.0,15169,1185.153783
977.0,9927,1241.552463
1422.0,14196,1259.46173
1184.0,17535,1281.422982
1060.0,6943,1290.202669
2218.0,18174,1356.991176
907.0,6099,1365.014318
847.0,10694,1378.05424
960.0,9042,1389.372696
1972.0,25238,1421.069277
1563.0,17648,1487.261451
2900.0,24136,1516.983594
2493.0,26046,1549.442483
608.0,1196,1601.704436
608.0,1196,1602.785709
608.0,1196,1603.867518
608.0,1196,1604.946739
608.0,1196,1606.026636
608.0,1196,1607.116401
608.0,1196,1608.201901
608.0,1196,1609.28179
608.0,1196,1610.360102
608.0,1196,1611.478291
608.0,1196,1612.566194
608.0,1196,1613.641809
608.0,1196,1614.723466
608.0,1196,1615.805925
608.0,1196,1616.89444
608.0,1196,1617.977422
608.0,1196,1619.055258
608.0,1196,1620.13075
608.0,1196,1621.212284
608.0,1196,1622.295686
